ts,Open,High,Low,Close,Volume,ATR,ADX,RSI,EMA50,EMA200
2025-02-21 15:45:00+00:00,1.04552,1.04616,1.04536,1.04542,1388,0.0008493812432527197,25.4394035465424,34.30348020775752,1.0475261773165083,1.04680831714636
2025-02-21 16:00:00+00:00,1.04545,1.04578,1.04523,1.04539,1332,0.000827996868734656,25.239337981795774,34.106534123526444,1.0474424056570375,1.0467942045379386
2025-02-21 16:15:00+00:00,1.0454,1.04549,1.04494,1.04513,1111,0.0008081399495393271,25.35214096083372,32.37187631113692,1.0473517230822518,1.046777645288805
2025-02-21 16:30:00+00:00,1.04515,1.04571,1.04501,1.04567,792,0.0008004156674293695,25.073916402564993,39.2793285106464,1.0472857731574576,1.0467666239426476
2025-02-21 16:45:00+00:00,1.04568,1.04568,1.04495,1.04547,859,0.0007953859768986929,24.88437372166845,37.74176291979744,1.0472145663669692,1.046753722211875
2025-02-21 17:00:00+00:00,1.04546,1.04587,1.04525,1.04545,883,0.0007828584071202195,24.357310098573627,37.58332850648778,1.0471453676859115,1.046740749851558
2025-02-21 17:15:00+00:00,1.04544,1.04588,1.0452,1.04587,800,0.0007755113780402048,23.93418269140346,42.995146129806656,1.047095353266856,1.0467320856739306
2025-02-21 17:30:00+00:00,1.04586,1.04624,1.04557,1.0462,878,0.0007679748510373294,22.862565900884285,46.89147929233704,1.0470602413740382,1.0467267912891154
2025-02-21 17:45:00+00:00,1.04619,1.04644,1.04606,1.04632,933,0.0007402623616775234,21.511111417265777,48.275965490004594,1.0470312123005465,1.0467227436145967
2025-02-21 18:00:00+00:00,1.0463,1.0468,1.04604,1.0461,1143,0.0007416721929862627,20.298453400910002,45.91285078114103,1.0469946941711132,1.04671654716072
2025-02-21 18:15:00+00:00,1.04611,1.04617,1.04552,1.04572,1496,0.0007351241792015324,19.365243275082328,42.081186820482735,1.0469447061644028,1.0467066312685736
2025-02-21 18:30:00+00:00,1.04567,1.04613,1.0451,1.04603,1098,0.0007561867378300006,19.08963769614834,46.037647126181156,1.0469088353344262,1.046699898619135
2025-02-21 18:45:00+00:00,1.04602,1.04623,1.04561,1.04599,1002,0.000746459113699291,18.64926741760716,45.60475442727315,1.0468728025762135,1.0466928349512827
